"Timestamp","Entering Grade Level","District","Birth Month","OLSAT Verbal Score","OLSAT Verbal Percentile","NNAT Non Verbal Raw Score","NNAT Non Verbal Percentile","Overall Score"
2018-03-27 00:00:00,"1","2","April",29,99,37,99,99
2018-03-27 00:00:00,"2","2","August",27,98,42,99,99
2018-03-27 00:00:00,"2","13","September",23,98,42,0.99,99
2018-03-27 00:00:00,"2","13","May",0.83,99,42,99,99
2018-03-27 00:00:00,"2","21","October",26,99,36,99,99
2018-02-14 00:00:00,"K","30","October",24,99,40,99,99
2018-03-27 00:00:00,"K","3","September",24,99,42,99,99
2018-03-27 00:00:00,"K","21","August",27,98,45,99,99
2018-03-27 00:00:00,"K","22","December",27,99,41,99,99
2018-03-27 00:00:00,"K","25","July",28,99,43,99,99
2018-03-27 00:00:00,"K","26","November",25,99,40,99,99
2018-03-27 00:00:00,"K","27","October",26,99,43,99,99
2018-03-27 00:00:00,"K","28","September",27,98,42,99,99
2018-03-27 00:00:00,"K","28","January",30,99,44,99,99
2018-03-28 00:00:00,"K","3","March",26,99,40,99,99
2018-03-28 00:00:00,"K","24","September",27,98,41,99,99
2018-03-28 00:00:00,"K","25","October",24,99,39,99,99
2018-03-28 00:00:00,"Kindergarten","26","November",24,99,4,99,99
2018-03-29 00:00:00,"K","11","January",26,99,48,99,99
2018-03-29 00:00:00,"K","28","February",28,98,44,99,99
2018-03-30 00:00:00,"K","15","May",28,99,46,99,99
2018-04-01 00:00:00,"K","2","July",27,99,45,99,99
2018-04-02 00:00:00,"K","28","December",28,99,42,99,99
2018-06-04 00:00:00,"K","3","February",29,99,42,99,99
2018-04-11 00:00:00,"K","14","January",25,99,46,99,99
2018-04-16 00:00:00,"k","2","August",26,99,40,99,99
2018-04-17 00:00:00,"K","30","February",25,99,37,98,99
2018-04-24 00:00:00,"k","13","September",23,98,37,99,99
2018-06-01 00:00:00,"K","3","May",26,99,40,99,99
2018-06-04 00:00:00,"K","17","September",24,99,36,99,99
2018-06-05 00:00:00,"K","2","March",26,99,47,99,99
2018-06-05 00:00:00,"K","27","November",27,99,44,99,99
2018-06-07 00:00:00,"K","30","January",26,99,37,0.98,99
